age 1954 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
34 62931 58730 54245 53847 52049 51154 48924 47494 47702 45891 46402 45614 45639 43820 44211 45625 47351 48563 50372 52183 51681 54172 60992 66277 70535 71009 71003 69314 67971 65134 62661 59548 59730 59936 58043 59284 60659 59667 59365 59578 58844 59875 61565 64562 68923 69057 68870 67914 63910 61231 61412 63660 63689 62908 64195 61838 59954
35 52090 62973 58760 54307 53820 51925 51025 48901 47431 47672 45963 46654 45780 45568 43727 44422 45839 47156 48171 50052 52040 51606 54068 60968 66153 70435 70781 70789 69107 67738 65042 62564 59487 59755 60072 58329 59484 60812 59722 59556 60026 58779 59797 61541 64527 68920 69188 69044 68152 64056 61329 61621 64108 64245 63406 64743 62268
36 52056 52118 62969 58736 54291 53666 51808 50961 48865 47399 47711 46116 46792 45724 45400 43919 44623 45690 46807 47863 49979 51998 51526 54002 60879 66024 70296 70568 70567 68909 67632 64955 62471 59500 59863 60365 58558 59657 60848 59871 60033 59906 58669 59721 61492 64522 69053 69319 69190 68304 64151 61449 62167 64574 64664 63871 65009
37 53098 52043 52079 62962 58689 54217 53546 51738 50921 48815 47449 47883 46200 46698 45629 45551 44047 44505 45387 46508 47745 49892 51938 51481 53855 60756 65862 70134 70386 70359 68739 67505 64827 62486 59595 60053 60496 58660 59652 61026 60214 59843 59797 58609 59630 61450 64574 69192 69502 69360 68445 64245 61730 62635 64851 65097 64119
38 52816 53076 51972 52082 62913 58580 54050 53469 51649 50845 48817 47547 47891 46129 46626 45766 45720 43923 44207 45105 46394 47702 49825 51892 51370 53751 60562 65672 69909 70220 70228 68651 67338 64806 62575 59790 60177 60549 58667 59757 61303 60115 59678 59677 58540 59574 61542 64703 69310 69569 69263 68522 64522 62129 62994 65178 65289
39 52516 52762 53034 51981 52015 62764 58398 54025 53395 51567 50855 48842 47569 47776 46006 46812 45905 45583 43630 43978 45003 46335 47622 49776 51763 51285 53634 60408 65501 69727 70088 70045 68476 67284 64821 62733 59868 60158 60502 58761 59972 61138 59978 59576 59615 58477 59641 61595 64788 69287 69559 69253 68782 64924 62475 63352 65299
40 54667 52444 52724 52984 51900 51891 62468 58265 53915 53290 51532 50887 48827 47459 47668 46117 46950 45762 45299 43390 43858 44898 46264 47549 49673 51644 51110 53452 60261 65317 69559 69967 69915 68372 67301 64882 62806 59847 60107 60586 58972 59832 60982 59860 59451 59496 58485 59677 61649 64913 69279 69609 69481 69069 65140 62786 63567
41 55272 54622 52383 52663 52889 51791 51720 62330 58153 53820 53266 51546 50860 48720 47318 47747 46188 46787 45477 45029 43286 43741 44821 46195 47430 49515 51499 50919 53301 60093 65184 69415 69800 69830 68362 67357 64921 62763 59763 60127 60721 58848 59697 60867 59775 59341 59539 58618 59764 61657 64884 69227 69807 69797 69208 65436 62942
42 55835 55201 54541 52327 52575 52742 51545 51629 62203 58045 53772 53283 51500 50755 48625 47349 47801 46043 46492 45261 44860 43209 43621 44720 46084 47307 49322 51347 50727 53134 59943 64983 69248 69683 69800 68409 67352 64831 62662 59676 60284 60571 58685 59539 60793 59681 59334 59555 58642 59692 61579 64900 69345 69987 69947 69359 65544
43 55100 55749 55086 54457 52217 52444 52541 51470 51497 62072 58004 53733 53213 51310 50632 48668 47398 47632 45757 46251 45118 44800 43134 43507 44600 45918 47127 49129 51163 50547 52974 59813 64787 69110 69616 69825 68364 67258 64676 62646 59719 60069 60437 58533 59447 60676 59663 59294 59590 58662 59679 61549 65088 69487 70109 70120 69419
44 55110 54944 55606 55019 54321 52091 52223 52447 51314 51377 61972 57926 53629 53072 51163 50633 48686 47181 47380 45504 46076 45029 44700 43024 43320 44477 45760 46974 48992 51002 50402 52839 59669 64665 69035 69590 69729 68232 67087 64642 62732 59538 59915 60247 58431 59338 60670 59661 59320 59591 58620 59669 61666 65250 69590 70229 70115
45 55798 55002 54773 55489 54892 54137 51863 52092 52299 51167 51270 61903 57841 53487 52901 51166 50588 48454 46929 47143 45341 45933 44885 44577 42858 43210 44293 45591 46772 48820 50836 50273 52651 59518 64605 68972 69472 69565 68018 66986 64653 62561 59390 59769 60118 58304 59303 60596 59636 59284 59564 58555 59757 61813 65308 69650 70231
46 53889 55664 54846 54643 55326 54661 53836 51724 51913 52123 51028 51147 61749 57668 53265 52811 51088 50384 48141 46694 46962 45170 45770 44718 44420 42691 43013 44075 45417 46607 48670 50669 50052 52528 59420 64547 68865 69281 69314 67879 66928 64440 62377 59248 59595 59960 58237 59275 60604 59608 59190 59458 58700 59865 61846 65460 69629
47 52411 53768 55450 54703 54497 55145 54361 53678 51551 51740 51997 50891 51013 61444 57409 53154 52714 50873 50079 47893 46460 46824 44958 45630 44557 44221 42475 42790 43895 45210 46425 48479 50467 49918 52416 59358 64368 68653 69051 69124 67822 66720 64241 62126 59054 59475 59869 58151 59214 60531 59496 59118 59456 58787 59891 61913 65398
48 51326 52271 53579 55253 54496 54228 54857 54172 53451 51351 51553 51821 50656 50833 61160 57262 53040 52405 50557 49809 47663 46269 46649 44784 45429 44357 44007 42292 42628 43711 45028 46266 48253 50289 49805 52321 59210 64142 68429 68837 69017 67556 66485 63995 61898 58840 59322 59769 58086 59084 60390 59386 59116 59504 58773 59934 61835
49 49148 51119 52059 53384 55021 54199 53912 54637 53944 53208 51165 51388 51588 50444 50582 60956 57096 52747 52059 50249 49538 47438 46053 46460 44564 45184 44134 43796 42062 42429 43527 44854 46108 48073 50168 49757 52174 59007 63897 68190 68689 68730 67342 66231 63808 61668 58712 59190 59681 57967 58940 60260 59376 59105 59425 58819 59920
50 48472 48933 50908 51807 53126 54742 53761 53671 54370 53678 53022 50935 51156 51331 50203 50394 60749 56766 52362 51766 49979 49259 47189 45816 46181 44295 44941 43908 43565 41859 42186 43324 44635 45889 47907 50052 49602 51981 58732 63663 67940 68396 68426 67089 65958 63597 61537 58588 59092 59520 57789 58809 60225 59379 59010 59410 58724
51 46737 48245 48637 50622 51557 52848 54391 53472 53364 54073 53438 52762 50661 50883 51053 50012 50167 60380 56387 51982 51428 49732 48961 46922 45575 45945 44029 44658 43654 43320 41658 41923 43101 44449 45702 47744 49879 49403 51779 58496 63481 67669 68073 68102 66805 65714 63422 61375 58416 58920 59335 57656 58724 60134 59277 58968 59326
52 46803 46445 47963 48344 50332 51248 52425 54072 53178 53084 53759 53115 52430 50399 50573 50792 49736 49827 59924 56027 51634 51141 49412 48635 46634 45242 45622 43760 44365 43359 43063 41413 41723 42883 44244 45520 47513 49651 49181 51516 58265 63186 67363 67755 67780 66546 65494 63243 61149 58275 58709 59182 57527 58569 60015 59214 58801
